Datetime,Open,High,Low,Close,Adj Close,Volume
2022-05-04 03:00:00+00:00,37987.46875,37992.23828125,37987.08203125,37992.23828125,37992.23828125,0
2022-05-04 03:15:00+00:00,37986.23046875,38022.125,37986.23046875,38022.125,38022.125,74737664
2022-05-04 03:30:00+00:00,38019.5625,38066.609375,38019.5625,38057.26953125,38057.26953125,56766464
2022-05-04 03:45:00+00:00,38061.76171875,38069.98046875,38021.98046875,38023.28125,38023.28125,29306880
2022-05-04 04:00:00+00:00,38026.1953125,38059.09765625,38025.24609375,38025.24609375,38025.24609375,21491712
2022-05-04 04:15:00+00:00,38020.328125,38030.76171875,37998.23046875,37998.23046875,37998.23046875,19154944
2022-05-04 04:30:00+00:00,37986.17578125,37997.3125,37974.2890625,37977.6953125,37977.6953125,15153152
2022-05-04 04:45:00+00:00,37978.484375,37998.66796875,37974.1328125,37998.66796875,37998.66796875,21819392
2022-05-04 05:00:00+00:00,37999.54296875,38006.6015625,37991.6796875,38004.94140625,38004.94140625,0
2022-05-04 05:15:00+00:00,38011.19921875,38014.3515625,37992.97265625,38007.76953125,38007.76953125,26918912
2022-05-04 05:30:00+00:00,38023.59375,38058.51953125,38023.59375,38054.4296875,38054.4296875,56408064
2022-05-04 05:45:00+00:00,38043.890625,38099.078125,38040.11328125,38099.078125,38099.078125,113747968
2022-05-04 06:00:00+00:00,38086.94140625,38283.640625,38086.94140625,38283.640625,38283.640625,356100096
2022-05-04 06:15:00+00:00,38283.81640625,38283.81640625,38278.01171875,38278.53125,38278.53125,78286848
2022-05-04 06:30:00+00:00,38261.69921875,38336.875,38261.69921875,38336.875,38336.875,126758912
2022-05-04 06:45:00+00:00,38338.0234375,38377.34765625,38338.0234375,38377.34765625,38377.34765625,280334336
2022-05-04 07:00:00+00:00,38355.54296875,38406.359375,38355.54296875,38406.359375,38406.359375,267053056
2022-05-04 07:15:00+00:00,38410.140625,38424.359375,38380.59375,38424.359375,38424.359375,132204544
2022-05-04 07:30:00+00:00,38428.6328125,38479.60546875,38428.6328125,38479.60546875,38479.60546875,217675776
2022-05-04 07:45:00+00:00,38516.94140625,38647.67578125,38516.94140625,38647.05078125,38647.05078125,727445504
2022-05-04 08:00:00+00:00,38673.25390625,38739.40625,38673.25390625,38739.40625,38739.40625,208427008
2022-05-04 08:15:00+00:00,38786.39453125,38832.5234375,38786.39453125,38797.66796875,38797.66796875,366964736
2022-05-04 08:30:00+00:00,38821.76171875,38908.75,38821.76171875,38887.89453125,38887.89453125,486043648
2022-05-04 08:45:00+00:00,38857.92578125,38958.25390625,38857.92578125,38958.25390625,38958.25390625,218238976
2022-05-04 09:00:00+00:00,38960.828125,38960.828125,38874.5625,38874.5625,38874.5625,134707200
